timestamp,x,y,cs_x,cs_y
1762729788.276005,-0.187526,1.671587,0.099671,3.253100
1762729788.329119,-0.214717,1.668691,0.099670,3.251575
1762729788.377970,-0.225660,1.678217,0.097297,3.262082
1762729788.424826,-0.253222,1.665338,0.098074,3.260416
1762729788.476874,-0.262187,1.656238,0.095150,3.260625
1762729788.525318,-0.262187,1.656238,0.101766,3.260277
1762729788.578955,-0.285223,1.632453,0.099685,3.258204
1762729788.625481,-0.305051,1.634365,0.099412,3.254694
1762729788.675350,-0.305051,1.634365,0.100174,3.261657
1762729788.724060,-0.322040,1.629145,0.099236,3.256893
1762729788.775796,-0.322040,1.629145,0.099327,3.248670
1762729788.824214,-0.361025,1.608210,0.096915,3.263893
1762729788.876847,-0.361025,1.608210,0.098414,3.260598
1762729788.924588,-0.361025,1.608210,0.099495,3.258408
1762729788.975272,-0.398269,1.595909,0.099885,3.259395
1762729789.026528,-0.409681,1.592693,0.099360,3.255255
1762729789.074363,-0.409681,1.592693,0.100280,3.254990
1762729789.124842,-0.451665,1.582976,0.099349,3.260217
1762729789.174035,-0.476467,1.580851,0.098788,3.251675
1762729789.224266,-0.489267,1.585216,0.099029,3.257452
1762729789.274013,-0.511862,1.580255,0.098541,3.264662
1762729789.325100,-0.511862,1.580255,0.098843,3.265665
1762729789.374016,-0.550784,1.587398,0.098298,3.260500
1762729789.426929,-0.550784,1.587398,0.097823,3.258624
1762729789.476223,-0.587295,1.593984,0.097578,3.265207
1762729789.524852,-0.598595,1.592881,0.100987,3.258385
1762729789.574216,-0.635883,1.588512,0.098395,3.269096
1762729789.624852,-0.654047,1.612401,0.097961,3.267715
1762729789.676425,-0.677558,1.609727,0.099142,3.261748
1762729789.725521,-0.705029,1.622893,0.098770,3.252399
1762729789.774541,-0.724721,1.607187,0.100786,3.257287
1762729789.828817,-0.743008,1.633706,0.099202,3.256831
1762729789.874938,-0.743008,1.633706,0.099871,3.256659
1762729789.924064,-0.782022,1.620395,0.099993,3.271880
1762729789.974882,-0.796227,1.629283,0.097110,3.290405
1762729790.026535,-0.796227,1.629283,0.095063,3.307293
1762729790.077322,-0.831354,1.609058,0.096882,3.295689
1762729790.126253,-0.854551,1.654654,0.096882,3.295689
1762729790.175197,-0.877775,1.627100,0.096882,3.295689
1762729790.227822,-0.890651,1.640048,0.096882,3.295689
1762729790.274974,-0.908914,1.639144,0.096882,3.295689
1762729790.324099,-0.985656,1.824684,0.099149,3.245833
1762729790.374900,-0.985656,1.824684,0.100440,3.269149
1762729790.424009,-0.961635,1.669675,0.096356,3.261299
1762729790.476856,-0.967042,1.659682,0.097849,3.258853
1762729790.524334,-0.967042,1.659682,0.101065,3.265283
1762729790.578015,-0.967042,1.659682,0.096658,3.251326
1762729790.624964,-0.967042,1.659682,0.098009,3.250326
1762729790.675554,-0.967042,1.659682,0.098877,3.263119
1762729790.726859,-0.967042,1.659682,0.100409,3.253624
1762729790.774028,-1.065653,1.691458,0.098442,3.270280
1762729790.824232,-1.113314,1.767512,0.100607,3.258187
1762729790.874107,-1.113314,1.767512,0.098727,3.262911
1762729790.924629,-1.113314,1.767512,0.098659,3.264986
1762729790.977912,-1.113314,1.767512,0.098411,3.263139
1762729791.024036,-1.113314,1.767512,0.098246,3.255524
1762729791.075817,-1.113314,1.767512,0.099094,3.247167
1762729791.125091,-1.113314,1.767512,0.099087,3.246606
1762729791.174086,-1.113314,1.767512,0.098317,3.258077
1762729791.225258,-1.113314,1.767512,0.099656,3.250067
1762729791.279442,-1.113314,1.767512,0.099618,3.253325
1762729791.324111,-1.113314,1.767512,0.099557,3.263496
1762729791.375898,-1.113314,1.767512,0.101360,3.265337
1762729791.424338,-1.113314,1.767512,0.101475,3.261499
1762729791.475225,-1.113314,1.767512,0.098669,3.250126
1762729791.526481,-1.113314,1.767512,0.100344,3.259061
1762729791.574052,-1.113314,1.767512,0.100135,3.253219
1762729791.626865,-1.113314,1.767512,0.097902,3.261372
1762729791.675034,-1.113314,1.767512,0.102186,3.245089
1762729791.725314,-1.113314,1.767512,0.100201,3.243077
1762729791.774100,-1.113314,1.767512,0.099364,3.258211
1762729791.824109,-1.113314,1.767512,0.097498,3.250733
1762729791.877071,-1.113314,1.767512,0.100904,3.251905
1762729791.924163,-1.113314,1.767512,0.101023,3.248517
1762729791.976435,-1.113314,1.767512,0.097319,3.253929
1762729792.026896,-1.113314,1.767512,0.101336,3.246843
1762729792.075536,-1.113314,1.767512,0.100396,3.251605
1762729792.125833,-1.113314,1.767512,0.101089,3.239837
1762729792.175705,-1.113314,1.767512,0.100732,3.240374
1762729792.224555,-1.113314,1.767512,0.098420,3.251425
1762729792.274510,-1.113314,1.767512,0.098551,3.259229
1762729792.325743,-1.113314,1.767512,0.100446,3.249124
1762729792.376617,-1.113314,1.767512,0.098105,3.240802
1762729792.426528,-1.113314,1.767512,0.099960,3.244499
1762729792.476832,-1.113314,1.767512,0.100242,3.239415
1762729792.525055,-1.113314,1.767512,0.099640,3.244359
1762729792.574037,-1.113314,1.767512,0.102430,3.234499
1762729792.627478,-1.113314,1.767512,0.100139,3.242078
1762729792.674569,-1.113314,1.767512,0.097516,3.242384
1762729792.724436,-1.113314,1.767512,0.102246,3.251656
1762729792.777694,-1.113314,1.767512,0.099654,3.239161
1762729792.824151,-1.113314,1.767512,0.099583,3.245506
1762729792.875190,-1.113314,1.767512,0.101653,3.242915
1762729792.925190,-1.113314,1.767512,0.099551,3.235436
1762729792.974845,-1.113314,1.767512,0.103031,3.240523
1762729793.026814,-1.113314,1.767512,0.101297,3.233290
1762729793.076724,-1.113314,1.767512,0.100885,3.242360
1762729793.125895,-1.113314,1.767512,0.099406,3.239906
1762729793.177892,-1.113314,1.767512,0.096317,3.249650
1762729793.224094,-1.113314,1.767512,0.099324,3.242661
1762729793.276602,-1.113314,1.767512,0.098154,3.235938
1762729793.325102,-1.113314,1.767512,0.100079,3.234668
1762729793.379149,-1.113314,1.767512,0.101014,3.233534
1762729793.425170,-1.113314,1.767512,0.098668,3.225962
1762729793.476477,-1.113314,1.767512,0.100949,3.238846
1762729793.525204,-1.113314,1.767512,0.098802,3.247317
1762729793.574641,-1.113314,1.767512,0.100764,3.247585
1762729793.625099,-1.113314,1.767512,0.101881,3.238992
1762729793.674104,-1.113314,1.767512,0.097865,3.239800
1762729793.725917,-1.113314,1.767512,0.097670,3.229680
1762729793.774877,-1.113314,1.767512,0.098307,3.241597
